place_id,name,address,lat,lng,rating,review_count,business_status,types,search_term,city,keep
ChIJ2wQhp4fPQIYRrefeZzgBt3s,Jumping World,"14147 Northwest Fwy, Houston, TX 77040, USA",29.8591467,-95.5266655,4.1,1751,OPERATIONAL,"amusement_center, video_arcade, tourist_attraction, amusement_park, point_of_interest, establishment",jumping world Texas,Houston,TRUE
ChIJswg9pLf53YYRKKeEfO6P8BA,Jumping World - El Paso,"5850 Onix Dr, El Paso, TX 79912, USA",31.817792299999997,-106.5376012,4.6,1882,OPERATIONAL,"amusement_park, bowling_alley, sports_complex, sports_activity_location, point_of_interest, establishment",jumping world Texas,El Paso,TRUE
ChIJFVxJlTKDQIYRePPknaVd_I8,Jumping World,"100 Gulf Fwy N, League City, TX 77573, USA",29.504272200000003,-95.1130861,4.1,1283,OPERATIONAL,"amusement_center, video_arcade, point_of_interest, establishment",jumping world Texas,League City,TRUE
ChIJP53x-j-YQIYRl_a6Zti1APs,Jumping World,"2222 Spencer Hwy, Pasadena, TX 77504, USA",29.663103099999997,-95.2062988,4.2,1366,OPERATIONAL,"amusement_center, video_arcade, amusement_park, sports_activity_location, point_of_interest, establishment",jumping world Texas,Pasadena,TRUE
ChIJJ6cijrKGRoYRKntfw_26KvY,Jumping World,"3143 Wildflower Dr Suite 1000, Bryan, TX 77802, USA",30.662951399999994,-96.3205756,4.3,562,OPERATIONAL,"amusement_center, video_arcade, amusement_park, sports_activity_location, point_of_interest, establishment",jumping world Texas,Bryan,TRUE
ChIJA3pGYxLLPoYRQQCFXOktBs0,Jumping World,"2651 S 11th St, Beaumont, TX 77701, USA",30.060231400000003,-94.1279247,4.1,807,OPERATIONAL,"amusement_center, sports_activity_location, point_of_interest, establishment",jumping world Texas,Beaumont,TRUE
ChIJnbgWq3IXTIYRrfQQi5Vaccs,J.W. Entertainment,"2031 W McDermott Dr, Allen, TX 75013, USA",33.0992702,-96.731635,4.1,845,OPERATIONAL,"amusement_center, point_of_interest, establishment",jumping world Texas,Allen,TRUE
ChIJC7uRoBn3aIYRZCV-8Fbc0L0,Jumping World,"1601 Flour Bluff Dr, Corpus Christi, TX 78418, USA",27.6665101,-97.3003074,4.1,1076,OPERATIONAL,"amusement_center, video_arcade, amusement_park, sports_activity_location, point_of_interest, establishment",jumping world Texas,Corpus Christi,TRUE
ChIJkd6lsyPMQIYRJq1K-yfWO1I,Flip N' Fun Trampoline Park,"5379 W Richey Rd, Houston, TX 77066, USA",29.958814399999998,-95.5001087,4.4,1159,OPERATIONAL,"amusement_center, amusement_park, point_of_interest, establishment",trampoline center Texas,Houston,TRUE
ChIJl3G--gHnQIYRlCDu4akuZNQ,Urban Air Trampoline and Adventure Park,"9848 Hwy 90 Alt, Sugar Land, TX 77478, USA",29.624835899999997,-95.608139,3.9,1696,OPERATIONAL,"amusement_park, adventure_sports_center, amusement_center, playground, sports_complex, sports_activity_location, point_of_interest, establishment",trampoline center Texas,Sugar Land,TRUE
